Id,Claude Label,Claude Short Label,Claude Description,Size
176,Big Think Knowledge & Ideas Network,Big Think Network,The Big Think knowledge/ideas media brand and its spin-off channels.,6
177,Science & Educational Explainer Channels (Vsauce circle),Vsauce Circle,"Deep-dive science and educational explainer channels (Vsauce, Chubbyemu, Henry Segerman).",6
178,Science & Engineering Hobbyist Channels,Science/Engineering Hobbyists,"Slow-motion/science/engineering demonstration channels (Slow Mo Guys, SmarterEveryDay, How Ridiculous).",7
179,Science Education Channels,Science Education,"Science education channels (AsapSCIENCE, Physics Girl).",3
180,Let's-Play/Story-Game Commentary Creators (Markiplier circle),Markiplier Circle,"Narrative/horror game let's-play commentary channels (Markiplier, LixianTV, Nerd Fiction).",5
181,VR/Streaming Gaming Channels,VR/Streaming Gaming,"Streaming/VR gaming channels (Disguised Toast, Meta Quest).",2
182,Mainstream Celebrity Podcast/Sports Crossover,Celebrity Podcast Crossover,"Mainstream celebrities appearing across podcast/sports/religion content (WWE, Impaulsive guests Joel Osteen and Stephen A. Smith).",6
183,Good Mythical Morning & Affiliated Channels,Good Mythical Morning,Good Mythical Morning's main channel and an affiliated small channel.,2
184,Comedy Sketch & Skit Creators,Comedy Sketch,"English-language comedy sketch channels (Rhett & Link, Airforceproud95, Henry Phillips).",4
185,Food/Entertainment Creator Channels (Try Guys circle),Try Guys Circle,"Food and entertainment creator channels (The Try Guys, Kristen Kish).",2
186,Long-form Podcast & Commentary Creators,Long-form Podcasts,"Long-form interview podcasts and cultural commentary (Joe Rogan/PowerfulJRE, Lex Fridman, YMH Studios) touching politics and society topics.",43
187,Podcast & Internet-Culture Commentary Creators,Internet-Culture Podcasts,"Podcast and internet-culture commentary channels (H3 Podcast, Hutch, Harley Morenstein).",5
188,Comedy Podcast & Small Music Channel,Comedy Podcast,Comedy podcast Kill Tony paired with an unrelated small music channel (CATBREAD7).,2
189,Fashion & Lifestyle Influencer Channels,Fashion/Lifestyle,"Fashion and lifestyle content (Vogue, Emma Chamberlain, Chamberlain Coffee).",4
190,Police Bodycam Compilation Channels,Police Bodycam Clips,"Police bodycam footage compilation channels (Bodycam Ninja, Cop Cam Max).",2
191,Sykkuno – Main & Highlight Channels,Sykkuno,Streamer Sykkuno's main channel and 'Daily Dose of Sykkuno' highlights channel.,2
192,Small Independent Filmmaker Channels,Small Filmmakers,"Small independent short-film creator channels (Yaqiao Yang, Sean Madden).",2
193,BabyBus - Песенки и Мультики для Детей,BabyBus (Russian),Isolated single-channel cluster; Russian-language version of the BabyBus children's songs/cartoons franchise.,1
194,AL WISHOL MULTIMEDIA,AL WISHOL MULTIMEDIA,Isolated single-channel cluster; appears to be an Arabic/South Asian music multimedia channel.,1
195,RobertArtists2009,RobertArtists2009,Isolated single-channel cluster with no other co-members to derive shared attributes from.,1
